z,charge,chargesum
0.000000000000000000e+00,3.512849794779407246e-08,1.475094459669493640e-04
7.039139980729185175e-02,-3.512849794633155097e-08,1.475069732228058048e-04
1.407827996145837035e-01,-0.000000000000000000e+00,1.475069732228058048e-04
2.111741994218755691e-01,-0.000000000000000000e+00,1.475069732228058048e-04
2.815655992291674070e-01,-1.756424897292202190e-08,1.475057368507340253e-04
3.519569990364592726e-01,-0.000000000000000000e+00,1.475057368507340253e-04
4.223483988437511383e-01,1.756424897350703116e-07,1.475181005714521192e-04
4.927397986510430039e-01,-0.000000000000000000e+00,1.475181005714521192e-04
5.631311984583348140e-01,-0.000000000000000000e+00,1.475181005714521192e-04
6.335225982656267352e-01,-1.756424897350703116e-07,1.475057368507340253e-04
7.039139980729185453e-01,-0.000000000000000000e+00,1.475057368507340253e-04
7.743053978802103554e-01,-0.000000000000000000e+00,1.475057368507340253e-04
8.446967976875022766e-01,-0.000000000000000000e+00,1.475057368507340253e-04
9.150881974947941977e-01,-1.756424897389703623e-08,1.475045004786621915e-04
9.854795973020860078e-01,-0.000000000000000000e+00,1.475045004786621915e-04
1.055870997109377818e+00,1.756424897292202190e-08,1.475057368507339710e-04
1.126262396916669628e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.196653796723961660e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.267045196531253470e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.337436596338545280e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.407827996145837091e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.478219395953129123e+00,-1.756424897389703623e-08,1.475045004786621373e-04
1.548610795760420711e+00,-0.000000000000000000e+00,1.475045004786621373e-04
1.619002195567712521e+00,1.756424897389703623e-08,1.475057368507339710e-04
1.689393595375004553e+00,-0.000000000000000000e+00,1.475057368507339710e-04
1.759784995182296363e+00,-1.756424897389703623e-08,1.475045004786621373e-04
1.830176394989588395e+00,-0.000000000000000000e+00,1.475045004786621373e-04
1.900567794796879983e+00,-0.000000000000000000e+00,1.475045004786621373e-04
1.970959194604172016e+00,-1.756424897194701088e-08,1.475032641065904390e-04
2.041350594411464048e+00,-1.756424897340952907e-08,1.475020277345186323e-04
2.111741994218755636e+00,-1.756424896999698883e-08,1.475007913624470696e-04
2.182133394026047668e+00,-1.756424897389703623e-08,1.474995549903752358e-04
2.252524793833339256e+00,-0.000000000000000000e+00,1.474995549903752358e-04
2.322916193640631288e+00,-0.000000000000000000e+00,1.474995549903752358e-04
2.393307593447923320e+00,-0.000000000000000000e+00,1.474995549903752358e-04
2.463698993255214909e+00,1.756424897389703623e-08,1.475007913624470696e-04
2.534090393062506941e+00,-0.000000000000000000e+00,1.475007913624470696e-04
2.604481792869798529e+00,-0.000000000000000000e+00,1.475007913624470696e-04
2.674873192677090561e+00,1.756424897389703623e-08,1.475020277345189033e-04
2.745264592484382593e+00,-0.000000000000000000e+00,1.475020277345189033e-04
2.815655992291674181e+00,1.756424897340952907e-08,1.475032641065907100e-04
2.886047392098965769e+00,-0.000000000000000000e+00,1.475032641065907100e-04
2.956438791906258245e+00,-0.000000000000000000e+00,1.475032641065907100e-04
3.026830191713549834e+00,-0.000000000000000000e+00,1.475032641065907100e-04
3.097221591520841422e+00,4.875058405127131133e-19,1.475032641065907371e-04
3.167612991328133454e+00,-0.000000000000000000e+00,1.475032641065907371e-04
3.238004391135425042e+00,-1.756424897292202190e-08,1.475020277345189576e-04
3.308395790942717518e+00,-0.000000000000000000e+00,1.475020277345189576e-04
3.378787190750009106e+00,1.580782407650733294e-08,1.475031404693836297e-04
3.449178590557300694e+00,-3.512849794779407246e-08,1.475006677252399350e-04
3.519569990364592726e+00,-1.756424897292202190e-08,1.474994313531681825e-04
3.589961390171884759e+00,-0.000000000000000000e+00,1.474994313531681825e-04
3.660352789979176791e+00,-1.170949931593135666e-09,1.474993489283633809e-04
3.730744189786468379e+00,-3.629944787792468870e-08,1.474967937594150202e-04
3.801135589593759967e+00,-1.756424897340952907e-08,1.474955573873432406e-04
3.871526989401052443e+00,1.756424897389703499e-09,1.474956810245504023e-04
3.941918389208344031e+00,-2.341899863170021038e-08,1.474940325284546420e-04
4.012309789015635175e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.082701188822928096e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.153092588630219240e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.223483988437511272e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.293875388244803304e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.364266788052095336e+00,-0.000000000000000000e+00,1.474940325284546420e-04
4.434658187859386480e+00,9.750116810254262267e-19,1.474940325284547233e-04
4.505049587666678512e+00,1.580782407611732588e-07,1.475051598771009564e-04
4.575440987473970544e+00,-3.512849794701406232e-07,1.474804324356647955e-04
4.645832387281262577e+00,5.854749657640674518e-09,1.474808445596887221e-04
4.716223787088554609e+00,-1.756424897389703623e-08,1.474796081876168612e-04
4.786615186895846641e+00,-1.756424897306827604e-07,1.474672444668990925e-04
4.857006586703137785e+00,-0.000000000000000000e+00,1.474672444668990925e-04
4.927397986510429817e+00,-0.000000000000000000e+00,1.474672444668990925e-04
4.997789386317721849e+00,-1.756424897350703116e-07,1.474548807461809985e-04
5.068180786125013881e+00,1.756424897340952907e-08,1.474561171182528052e-04
5.138572185932305025e+00,-1.756424897194701088e-08,1.474548807461811069e-04
5.208963585739597058e+00,-0.000000000000000000e+00,1.474548807461811069e-04
5.279354985546889978e+00,1.756424897389703623e-08,1.474561171182529407e-04
5.349746385354181122e+00,-0.000000000000000000e+00,1.474561171182529407e-04
5.420137785161473154e+00,-0.000000000000000000e+00,1.474561171182529407e-04
5.490529184968765186e+00,1.756424897194701088e-08,1.474573534903246390e-04
5.560920584776056330e+00,1.756424897340952907e-08,1.474585898623964456e-04
5.631311984583348362e+00,3.512849794681905813e-08,1.474610626065400590e-04
5.701703384390640394e+00,-0.000000000000000000e+00,1.474610626065400590e-04
5.772094784197931538e+00,-0.000000000000000000e+00,1.474610626065400590e-04
5.842486184005223571e+00,-0.000000000000000000e+00,1.474610626065400590e-04
5.912877583812516491e+00,1.814972393912484564e-08,1.474623401910142258e-04
5.983268983619807635e+00,1.170949931593135666e-09,1.474624226158190274e-04
6.053660383427099667e+00,1.756424897145950537e-09,1.474625462530261891e-04
6.124051783234391699e+00,1.756424897389703623e-08,1.474637826250980229e-04
6.194443183041682843e+00,-0.000000000000000000e+00,1.474637826250980229e-04
6.264834582848974875e+00,5.854749657965678744e-09,1.474641947491219765e-04
6.335225982656266908e+00,1.756424897389703623e-08,1.474654311211938103e-04
6.405617382463558940e+00,-0.000000000000000000e+00,1.474654311211938103e-04
6.476008782270850084e+00,-0.000000000000000000e+00,1.474654311211938103e-04
6.546400182078143004e+00,5.269274692120359822e-08,1.474691402374092846e-04
6.616791581885435036e+00,1.756424897389703623e-08,1.474703766094811184e-04
6.687182981692726180e+00,-4.098324760543474533e-08,1.474674917413135243e-04
6.757574381500018212e+00,-1.170949931560635326e-08,1.474666674932656712e-04
6.827965781307310245e+00,-0.000000000000000000e+00,1.474666674932656712e-04
6.898357181114601389e+00,1.756424897389703623e-08,1.474679038653375050e-04
6.968748580921893421e+00,1.756424897292202190e-08,1.474691402374092575e-04
7.039139980729185453e+00,-0.000000000000000000e+00,1.474691402374092575e-04
7.109531380536477485e+00,-0.000000000000000000e+00,1.474691402374092575e-04
7.179922780343769517e+00,-1.756424897389703623e-08,1.474679038653374237e-04
7.250314180151061549e+00,-0.000000000000000000e+00,1.474679038653374237e-04
7.320705579958353582e+00,1.756424897350703116e-07,1.474802675860555177e-04
7.391096979765644726e+00,-1.756424897389703623e-08,1.474790312139836839e-04
7.461488379572936758e+00,-0.000000000000000000e+00,1.474790312139836839e-04
7.531879779380228790e+00,3.512849794779407246e-08,1.474815039581273514e-04
7.602271179187519934e+00,-0.000000000000000000e+00,1.474815039581273514e-04
7.672662578994811966e+00,-0.000000000000000000e+00,1.474815039581273514e-04
7.743053978802104886e+00,-0.000000000000000000e+00,1.474815039581273514e-04
7.813445378609396030e+00,-0.000000000000000000e+00,1.474815039581273514e-04
7.883836778416688063e+00,-0.000000000000000000e+00,1.474815039581273514e-04
7.954228178223980095e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.024619578031270350e+00,1.756424897389703623e-08,1.474827403301991852e-04
8.095010977838564159e+00,-1.756424897389703623e-08,1.474815039581273514e-04
8.165402377645856191e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.235793777453146447e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.306185177260438479e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.376576577067730511e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.446967976875022543e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.517359376682314576e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.587750776489606608e+00,-0.000000000000000000e+00,1.474815039581273514e-04
8.658142176296898640e+00,1.756424897292202190e-08,1.474827403301991310e-04
8.728533576104190672e+00,-1.756424897340952907e-08,1.474815039581273243e-04
8.798924975911480928e+00,1.756424897389703623e-08,1.474827403301991581e-04
8.869316375718772960e+00,-0.000000000000000000e+00,1.474827403301991581e-04
8.939707775526064992e+00,-0.000000000000000000e+00,1.474827403301991581e-04
9.010099175333357024e+00,-1.756424897389703623e-08,1.474815039581273243e-04
9.080490575140649057e+00,5.854749657705675364e-08,1.474856251983665896e-04
9.150881974947941089e+00,-0.000000000000000000e+00,1.474856251983665896e-04
9.221273374755234897e+00,-0.000000000000000000e+00,1.474856251983665896e-04
9.291664774562525153e+00,-0.000000000000000000e+00,1.474856251983665896e-04
9.362056174369817185e+00,-0.000000000000000000e+00,1.474856251983665896e-04
9.432447574177109217e+00,-1.932067387089673379e-07,1.474720251055766619e-04
9.502838973984401250e+00,-0.000000000000000000e+00,1.474720251055766619e-04
9.573230373791693282e+00,1.756424897389703623e-08,1.474732614776484956e-04
9.643621773598985314e+00,-0.000000000000000000e+00,1.474732614776484956e-04
9.714013173406275570e+00,1.756424897292202190e-08,1.474744978497202752e-04
9.784404573213567602e+00,1.756424897389703623e-08,1.474757342217921090e-04
9.854795973020859634e+00,-0.000000000000000000e+00,1.474757342217921090e-04
