z,charge,chargesum
0.000000000000000000e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.039139980729185175e-02,-0.000000000000000000e+00,3.825587616112684420e-05
1.407827996145837035e-01,-0.000000000000000000e+00,3.825587616112684420e-05
2.111741994218755691e-01,-0.000000000000000000e+00,3.825587616112684420e-05
2.815655992291674070e-01,-0.000000000000000000e+00,3.825587616112684420e-05
3.519569990364592726e-01,-0.000000000000000000e+00,3.825587616112684420e-05
4.223483988437511383e-01,-0.000000000000000000e+00,3.825587616112684420e-05
4.927397986510430039e-01,-0.000000000000000000e+00,3.825587616112684420e-05
5.631311984583348140e-01,-0.000000000000000000e+00,3.825587616112684420e-05
6.335225982656267352e-01,-0.000000000000000000e+00,3.825587616112684420e-05
7.039139980729185453e-01,-0.000000000000000000e+00,3.825587616112684420e-05
7.743053978802103554e-01,-0.000000000000000000e+00,3.825587616112684420e-05
8.446967976875022766e-01,-0.000000000000000000e+00,3.825587616112684420e-05
9.150881974947941977e-01,-0.000000000000000000e+00,3.825587616112684420e-05
9.854795973020860078e-01,-0.000000000000000000e+00,3.825587616112684420e-05
1.055870997109377818e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.126262396916669628e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.196653796723961660e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.267045196531253470e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.337436596338545280e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.407827996145837091e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.478219395953129123e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.548610795760420711e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.619002195567712521e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.689393595375004553e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.759784995182296363e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.830176394989588395e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.900567794796879983e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.970959194604172016e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.041350594411464048e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.111741994218755636e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.182133394026047668e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.252524793833339256e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.322916193640631288e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.393307593447923320e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.463698993255214909e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.534090393062506941e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.604481792869798529e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.674873192677090561e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.745264592484382593e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.815655992291674181e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.886047392098965769e+00,-0.000000000000000000e+00,3.825587616112684420e-05
2.956438791906258245e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.026830191713549834e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.097221591520841422e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.167612991328133454e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.238004391135425042e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.308395790942717518e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.378787190750009106e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.449178590557300694e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.519569990364592726e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.589961390171884759e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.660352789979176791e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.730744189786468379e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.801135589593759967e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.871526989401052443e+00,-0.000000000000000000e+00,3.825587616112684420e-05
3.941918389208344031e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.012309789015635175e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.082701188822928096e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.153092588630219240e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.223483988437511272e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.293875388244803304e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.364266788052095336e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.434658187859386480e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.505049587666678512e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.575440987473970544e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.645832387281262577e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.716223787088554609e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.786615186895846641e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.857006586703137785e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.927397986510429817e+00,-0.000000000000000000e+00,3.825587616112684420e-05
4.997789386317721849e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.068180786125013881e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.138572185932305025e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.208963585739597058e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.279354985546889978e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.349746385354181122e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.420137785161473154e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.490529184968765186e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.560920584776056330e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.631311984583348362e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.701703384390640394e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.772094784197931538e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.842486184005223571e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.912877583812516491e+00,-0.000000000000000000e+00,3.825587616112684420e-05
5.983268983619807635e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.053660383427099667e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.124051783234391699e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.194443183041682843e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.264834582848974875e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.335225982656266908e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.405617382463558940e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.476008782270850084e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.546400182078143004e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.616791581885435036e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.687182981692726180e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.757574381500018212e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.827965781307310245e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.898357181114601389e+00,-0.000000000000000000e+00,3.825587616112684420e-05
6.968748580921893421e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.039139980729185453e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.109531380536477485e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.179922780343769517e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.250314180151061549e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.320705579958353582e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.391096979765644726e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.461488379572936758e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.531879779380228790e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.602271179187519934e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.672662578994811966e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.743053978802104886e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.813445378609396030e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.883836778416688063e+00,-0.000000000000000000e+00,3.825587616112684420e-05
7.954228178223980095e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.024619578031270350e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.095010977838564159e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.165402377645856191e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.235793777453146447e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.306185177260438479e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.376576577067730511e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.446967976875022543e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.517359376682314576e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.587750776489606608e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.658142176296898640e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.728533576104190672e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.798924975911480928e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.869316375718772960e+00,-0.000000000000000000e+00,3.825587616112684420e-05
8.939707775526064992e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.010099175333357024e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.080490575140649057e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.150881974947941089e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.221273374755234897e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.291664774562525153e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.362056174369817185e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.432447574177109217e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.502838973984401250e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.573230373791693282e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.643621773598985314e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.714013173406275570e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.784404573213567602e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.854795973020859634e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.925187372828151666e+00,-0.000000000000000000e+00,3.825587616112684420e-05
9.995578772635443698e+00,-0.000000000000000000e+00,3.825587616112684420e-05
1.006597017244273573e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.013636157225002776e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.020675297205731802e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.027714437186461005e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.034753577167190208e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.041792717147919412e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.048831857128648792e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.055870997109377996e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.062910137090107021e+01,-0.000000000000000000e+00,3.825587616112684420e-05
1.069949277070836224e+01,-1.206078429505991889e-07,3.824738640623381408e-05
1.076988417051565428e+01,-1.077273937035703125e-06,3.817155558582995749e-05
1.084027557032294631e+01,-3.357113453779287677e-06,3.793524367050654433e-05
1.091066697013023834e+01,-6.464229097171890800e-06,3.748021753568158673e-05
1.098105836993753037e+01,-9.943706818804692456e-06,3.678026609343261081e-05
1.105144976974482063e+01,-1.447586852890177917e-05,3.576128944425689107e-05
1.112184116955211266e+01,-1.801038089731693773e-05,3.449351352183224501e-05
1.119223256935940469e+01,-2.258645322984381267e-05,3.290362146230160946e-05
1.126262396916669672e+01,-2.545820793700089948e-05,3.111158256903100752e-05
1.133301536897398876e+01,-2.819296150215590616e-05,2.912704054418116561e-05
1.140340676878128079e+01,-3.007584899210712844e-05,2.700995943323401685e-05
1.147379816858857282e+01,-3.149269840929354910e-05,2.479314430849496799e-05
1.154418956839586308e+01,-3.254069859803568571e-05,2.250255898347205770e-05
1.161458096820315511e+01,-3.283929083060778084e-05,2.019095533322681082e-05
1.168497236801044714e+01,-3.495285545704385265e-05,1.773057491034355567e-05
1.175536376781774095e+01,-3.763433080032501814e-05,1.508144168449800047e-05
1.182575516762503298e+01,-4.296800773856567402e-05,1.205686347284981564e-05
1.189614656743232501e+01,-5.522785352202973762e-05,8.169297555082067746e-06
1.196653796723961527e+01,-6.848476317214988261e-05,3.348559209923568467e-06
1.203692936704690730e+01,-8.942884202800266012e-05,-2.946462163572713432e-06
1.210732076685419933e+01,-1.164656661152467596e-04,-1.114464343091361163e-05
1.217771216666149137e+01,-1.401024028861833125e-04,-2.100664768643721993e-05
1.224810356646878340e+01,-1.633182417042008678e-04,-3.250284733406154613e-05
1.231849496627607543e+01,-1.819831836133227433e-04,-4.531289836999075304e-05
1.238888636608336569e+01,-1.872524583052905033e-04,-5.849386102745670761e-05
1.245927776589065772e+01,-1.841435862370734004e-04,-7.145598582821907890e-05
1.252966916569794975e+01,-1.678849464373143236e-04,-8.327364221451385518e-05
1.260006056550524178e+01,-1.333829067039295256e-04,-9.266265172776886748e-05
1.267045196531253382e+01,-8.929664178071988333e-05,-9.894836734080403079e-05
1.274084336511982585e+01,-4.118230909295114424e-05,-1.018472477251534220e-04
1.281123476492711788e+01,1.595594924240454431e-05,-1.007240861227264700e-04
1.288162616473440814e+01,7.189047104814577920e-05,-9.566361523284189422e-05
1.295201756454170017e+01,1.306698157125293208e-04,-8.646558399227609348e-05
1.302240896434899398e+01,1.853883060143022307e-04,-7.341584162402677851e-05
1.309280036415628601e+01,2.356835329495945172e-04,-5.682574782817681713e-05
1.316319176396357804e+01,2.786257797896707247e-04,-3.721288916638364473e-05
1.323358316377087007e+01,3.142870599553300968e-04,-1.508978307480969843e-05
1.330397456357816033e+01,3.393611963147768183e-04,8.798326574064614371e-06
1.337436596338545236e+01,3.518979717570207126e-04,3.356891739538815905e-05
1.344475736319274439e+01,3.503318262235365858e-04,5.822926504030781708e-05
1.351514876300003642e+01,3.317746117081828172e-04,8.158334437896753034e-05
1.358554016280732846e+01,2.947538586719818544e-04,1.023314810894890129e-04
1.365593156261462049e+01,2.393825637834121598e-04,1.191819548436617079e-04
1.372632296242191252e+01,1.687807231349695142e-04,1.310626662056191944e-04
1.379671436222920278e+01,8.185525496567893548e-05,1.368245721842360979e-04
1.386710576203649481e+01,-1.199052729917464956e-05,1.359805421832196624e-04
1.393749716184378684e+01,-1.071477734873743523e-04,1.284382604212087463e-04
1.400788856165107887e+01,-1.871470728114115519e-04,1.152647159961763153e-04
1.407827996145837091e+01,-2.485399777231700989e-04,9.776963905616922117e-05
1.414867136126566294e+01,-2.860337945316558444e-04,7.763531986689466082e-05
1.421906276107295497e+01,-2.897398510650718898e-04,5.724012617046799509e-05
1.428945416088024700e+01,-2.636803603382059115e-04,3.867929650457055716e-05
1.435984556068753903e+01,-2.121234348516388979e-04,2.374763099343281896e-05
1.443023696049483107e+01,-1.322851411431213043e-04,1.443589473466333256e-05
1.450062836030212310e+01,-3.631502151239936557e-05,1.187962953637362553e-05
1.457101976010941513e+01,6.705093498095142954e-05,1.659943870807051048e-05
1.464141115991670716e+01,1.591847884458057270e-04,2.780467879479839535e-05
1.471180255972399742e+01,2.223282635052449302e-04,4.345467647965702137e-05
1.478219395953128945e+01,2.384346798138058761e-04,6.023842735435425784e-05
1.485258535933858148e+01,2.165554803426113380e-04,7.548207075161114665e-05
1.492297675914587352e+01,1.557246313979576962e-04,8.644374554018793377e-05
1.499336815895316555e+01,8.413275258254998990e-05,9.236596776411416733e-05
1.506375955876045758e+01,7.072537586659468743e-06,9.286381358502882348e-05
1.513415095856774784e+01,-6.787996753250137420e-05,8.808564765154252468e-05
1.520454235837503987e+01,-1.254087376700367923e-04,7.925795105888318098e-05
1.527493375818233190e+01,-1.764270261880549492e-04,6.683900572166825798e-05
1.534532515798962393e+01,-2.098096377869241951e-04,5.207021162478578461e-05
1.541571655779691774e+01,-2.311941109119942386e-04,3.579613453048822460e-05
1.548610795760420977e+01,-2.397168699888555942e-04,1.892212849455008255e-05
1.555649935741150003e+01,-2.371290706400984655e-04,2.230281277191361905e-06
1.562689075721879206e+01,-2.227187753073663805e-04,-1.344720508005986954e-05
1.569728215702608409e+01,-1.984367865766103458e-04,-2.741544826044829247e-05
1.576767355683337613e+01,-1.676519274009699546e-04,-3.921670211059303184e-05
1.583806495664066816e+01,-1.303267273825714642e-04,-4.839058288335555089e-05
1.590845635644796019e+01,-8.914031996486015280e-05,-5.466529478495194097e-05
1.597884775625525222e+01,-4.642992121125545657e-05,-5.793356193195448213e-05
1.604923915606254070e+01,-3.690248709312416061e-06,-5.819332370424003161e-05
1.611963055586983629e+01,3.476667441796311818e-05,-5.574604882531524868e-05
1.619002195567712832e+01,6.323890747882202057e-05,-5.129457360559715060e-05
1.626041335548442035e+01,7.179094030388781511e-05,-4.624110882412476030e-05
1.633080475529171238e+01,6.004045774070941902e-05,-4.201477695868567668e-05
1.640119615509900441e+01,1.966610410053470532e-05,-4.063045236229312064e-05
1.647158755490629289e+01,-2.603021697854498417e-05,-4.246275577270043898e-05
1.654197895471358493e+01,-4.951361785594818543e-05,-4.594808864310394634e-05
1.661237035452087696e+01,-1.580196932640004728e-05,-4.706041138370113192e-05
1.668276175432816899e+01,9.137507790926250879e-05,-4.062839174216779594e-05
1.675315315413546102e+01,2.409463674170148290e-04,-2.366783966120206774e-05
1.682354455394275305e+01,3.547217175169584537e-04,1.301518576863396558e-06
1.689393595375004509e+01,3.575529573565772818e-04,2.647017175042980534e-05
1.696432735355733712e+01,1.910020741761420473e-04,3.991507511778463236e-05
1.703471875336462915e+01,-1.121594391943970859e-04,3.202001519129018988e-05
1.710511015317192118e+01,-4.609268763094142045e-04,-4.252728409319460161e-07
1.717550155297921322e+01,-7.531140127314918994e-04,-5.343802241158828375e-05
1.724589295278650170e+01,-9.022286317658450780e-04,-1.169471587478038057e-04
1.731628435259379728e+01,-8.997227989123591629e-04,-1.802799060017793364e-04
1.738667575240108931e+01,-7.765505756116311510e-04,-2.349423880402402680e-04
1.745706715220838134e+01,-5.850885523022823515e-04,-2.761275902480198204e-04
1.752745855201567338e+01,-3.696103458967838515e-04,-3.021449798789517549e-04
1.759784995182296186e+01,-1.596765874170846811e-04,-3.133848383836917279e-04
1.766824135163025744e+01,3.485273923790482175e-05,-3.109315052816170790e-04
1.773863275143754592e+01,1.962301314306216316e-04,-2.971185916458467594e-04
1.780902415124484151e+01,3.254462128030704269e-04,-2.742099771646568378e-04
1.787941555105212998e+01,4.149436724970690738e-04,-2.450015112164096527e-04
1.794980695085942557e+01,4.675749445458436725e-04,-2.120882563550108746e-04
1.802019835066671405e+01,4.868271178455928281e-04,-1.778198140657101457e-04
1.809058975047400608e+01,4.750789771822474801e-04,-1.443783398428352888e-04
1.816098115028129811e+01,4.384136074503025343e-04,-1.135177923198439479e-04
1.823137255008859015e+01,3.808356574156288206e-04,-8.671023729782758888e-05
