z,charge,chargesum
0.000000000000000000e+00,3.512849794779407246e-08,1.142062789961426463e-04
7.039139980729185175e-02,-3.512849794633155097e-08,1.142038062519990871e-04
1.407827996145837035e-01,-0.000000000000000000e+00,1.142038062519990871e-04
2.111741994218755691e-01,-0.000000000000000000e+00,1.142038062519990871e-04
2.815655992291674070e-01,-1.756424897292202190e-08,1.142025698799273075e-04
3.519569990364592726e-01,-0.000000000000000000e+00,1.142025698799273075e-04
4.223483988437511383e-01,1.756424897350703116e-07,1.142149336006454015e-04
4.927397986510430039e-01,-0.000000000000000000e+00,1.142149336006454015e-04
5.631311984583348140e-01,-0.000000000000000000e+00,1.142149336006454015e-04
6.335225982656267352e-01,-1.756424897350703116e-07,1.142025698799273075e-04
7.039139980729185453e-01,-0.000000000000000000e+00,1.142025698799273075e-04
7.743053978802103554e-01,-0.000000000000000000e+00,1.142025698799273075e-04
8.446967976875022766e-01,-0.000000000000000000e+00,1.142025698799273075e-04
9.150881974947941977e-01,-1.756424897389703623e-08,1.142013335078554737e-04
9.854795973020860078e-01,-0.000000000000000000e+00,1.142013335078554737e-04
1.055870997109377818e+00,1.756424897292202190e-08,1.142025698799272398e-04
1.126262396916669628e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.196653796723961660e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.267045196531253470e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.337436596338545280e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.407827996145837091e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.478219395953129123e+00,-1.756424897389703623e-08,1.142013335078554060e-04
1.548610795760420711e+00,-0.000000000000000000e+00,1.142013335078554060e-04
1.619002195567712521e+00,1.756424897389703623e-08,1.142025698799272398e-04
1.689393595375004553e+00,-0.000000000000000000e+00,1.142025698799272398e-04
1.759784995182296363e+00,-1.756424897389703623e-08,1.142013335078554060e-04
1.830176394989588395e+00,-0.000000000000000000e+00,1.142013335078554060e-04
1.900567794796879983e+00,-0.000000000000000000e+00,1.142013335078554060e-04
1.970959194604172016e+00,-1.756424897194701088e-08,1.142000971357837077e-04
2.041350594411464048e+00,-1.756424897340952907e-08,1.141988607637119010e-04
2.111741994218755636e+00,-1.756424896999698883e-08,1.141976243916403518e-04
2.182133394026047668e+00,-1.756424897389703623e-08,1.141963880195685045e-04
2.252524793833339256e+00,-0.000000000000000000e+00,1.141963880195685045e-04
2.322916193640631288e+00,-0.000000000000000000e+00,1.141963880195685045e-04
2.393307593447923320e+00,-0.000000000000000000e+00,1.141963880195685045e-04
2.463698993255214909e+00,1.756424897389703623e-08,1.141976243916403518e-04
2.534090393062506941e+00,-0.000000000000000000e+00,1.141976243916403518e-04
2.604481792869798529e+00,-0.000000000000000000e+00,1.141976243916403518e-04
2.674873192677090561e+00,1.756424897389703623e-08,1.141988607637121856e-04
2.745264592484382593e+00,-0.000000000000000000e+00,1.141988607637121856e-04
2.815655992291674181e+00,1.756424897340952907e-08,1.142000971357839788e-04
