z,charge,chargesum
0.000000000000000000e+00,3.512849794779407246e-08,-1.360590002857403776e-04
7.039139980729185175e-02,-3.512849794633155097e-08,-1.360614730298839367e-04
1.407827996145837035e-01,-0.000000000000000000e+00,-1.360614730298839367e-04
2.111741994218755691e-01,-0.000000000000000000e+00,-1.360614730298839367e-04
2.815655992291674070e-01,-1.756424897292202190e-08,-1.360627094019557163e-04
3.519569990364592726e-01,-0.000000000000000000e+00,-1.360627094019557163e-04
4.223483988437511383e-01,1.756424897350703116e-07,-1.360503456812376223e-04
4.927397986510430039e-01,-0.000000000000000000e+00,-1.360503456812376223e-04
5.631311984583348140e-01,-0.000000000000000000e+00,-1.360503456812376223e-04
6.335225982656267352e-01,-1.756424897350703116e-07,-1.360627094019557163e-04
7.039139980729185453e-01,-0.000000000000000000e+00,-1.360627094019557163e-04
7.743053978802103554e-01,-0.000000000000000000e+00,-1.360627094019557163e-04
8.446967976875022766e-01,-0.000000000000000000e+00,-1.360627094019557163e-04
9.150881974947941977e-01,-1.756424897389703623e-08,-1.360639457740275501e-04
9.854795973020860078e-01,-0.000000000000000000e+00,-1.360639457740275501e-04
1.055870997109377818e+00,1.756424897292202190e-08,-1.360627094019557705e-04
1.126262396916669628e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.196653796723961660e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.267045196531253470e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.337436596338545280e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.407827996145837091e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.478219395953129123e+00,-1.756424897389703623e-08,-1.360639457740276043e-04
1.548610795760420711e+00,-0.000000000000000000e+00,-1.360639457740276043e-04
1.619002195567712521e+00,1.756424897389703623e-08,-1.360627094019557705e-04
1.689393595375004553e+00,-0.000000000000000000e+00,-1.360627094019557705e-04
1.759784995182296363e+00,-1.756424897389703623e-08,-1.360639457740276043e-04
1.830176394989588395e+00,-0.000000000000000000e+00,-1.360639457740276043e-04
1.900567794796879983e+00,-0.000000000000000000e+00,-1.360639457740276043e-04
1.970959194604172016e+00,-1.756424897194701088e-08,-1.360651821460993026e-04
2.041350594411464048e+00,-1.756424897340952907e-08,-1.360664185181711093e-04
2.111741994218755636e+00,-1.756424896999698883e-08,-1.360676548902426720e-04
2.182133394026047668e+00,-1.756424897389703623e-08,-1.360688912623145058e-04
2.252524793833339256e+00,-0.000000000000000000e+00,-1.360688912623145058e-04
2.322916193640631288e+00,-0.000000000000000000e+00,-1.360688912623145058e-04
2.393307593447923320e+00,-0.000000000000000000e+00,-1.360688912623145058e-04
2.463698993255214909e+00,1.756424897389703623e-08,-1.360676548902426720e-04
2.534090393062506941e+00,-0.000000000000000000e+00,-1.360676548902426720e-04
2.604481792869798529e+00,-0.000000000000000000e+00,-1.360676548902426720e-04
2.674873192677090561e+00,1.756424897389703623e-08,-1.360664185181708382e-04
2.745264592484382593e+00,-0.000000000000000000e+00,-1.360664185181708382e-04
2.815655992291674181e+00,1.756424897340952907e-08,-1.360651821460990315e-04
2.886047392098965769e+00,-0.000000000000000000e+00,-1.360651821460990315e-04
2.956438791906258245e+00,-0.000000000000000000e+00,-1.360651821460990315e-04
3.026830191713549834e+00,-0.000000000000000000e+00,-1.360651821460990315e-04
3.097221591520841422e+00,4.875058405127131133e-19,-1.360651821460990044e-04
3.167612991328133454e+00,-0.000000000000000000e+00,-1.360651821460990044e-04
3.238004391135425042e+00,-1.756424897292202190e-08,-1.360664185181707840e-04
3.308395790942717518e+00,-0.000000000000000000e+00,-1.360664185181707840e-04
3.378787190750009106e+00,1.580782407650733294e-08,-1.360653057833061119e-04
3.449178590557300694e+00,-3.512849794779407246e-08,-1.360677785274498066e-04
3.519569990364592726e+00,-1.756424897292202190e-08,-1.360690148995215591e-04
3.589961390171884759e+00,-0.000000000000000000e+00,-1.360690148995215591e-04
3.660352789979176791e+00,-1.170949931593135666e-09,-1.360690973243263607e-04
3.730744189786468379e+00,-3.629944787792468870e-08,-1.360716524932747214e-04
3.801135589593759967e+00,-1.756424897340952907e-08,-1.360728888653465010e-04
3.871526989401052443e+00,1.756424897389703499e-09,-1.360727652281393393e-04
3.941918389208344031e+00,-2.341899863170021038e-08,-1.360744137242350996e-04
4.012309789015635175e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.082701188822928096e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.153092588630219240e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.223483988437511272e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.293875388244803304e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.364266788052095336e+00,-0.000000000000000000e+00,-1.360744137242350996e-04
4.434658187859386480e+00,9.750116810254262267e-19,-1.360744137242350183e-04
4.505049587666678512e+00,1.580782407611732588e-07,-1.360632863755887852e-04
4.575440987473970544e+00,-3.512849794701406232e-07,-1.360880138170249460e-04
4.645832387281262577e+00,5.854749657640674518e-09,-1.360876016930010195e-04
4.716223787088554609e+00,-1.756424897389703623e-08,-1.360888380650728804e-04
4.786615186895846641e+00,-1.756424897306827604e-07,-1.361012017857906491e-04
4.857006586703137785e+00,-0.000000000000000000e+00,-1.361012017857906491e-04
4.927397986510429817e+00,-0.000000000000000000e+00,-1.361012017857906491e-04
4.997789386317721849e+00,-1.756424897350703116e-07,-1.361135655065087431e-04
5.068180786125013881e+00,1.756424897340952907e-08,-1.361123291344369364e-04
